Player_1_id,Player_1_deck_id,Player_1_final_hp,Player_2_id,Player_2_deck_id,Player_2_final_hp,Coin,Final_turn,Winner
Face_hunter_1,hunter_face,15,Q_learner_table_1,hunter_face,0,Q_learner_table_1,13,Face_hunter_1
Face_hunter_1,hunter_face,18,Q_learner_table_1,hunter_face,0,Q_learner_table_1,9,Face_hunter_1
Face_hunter_1,hunter_face,11,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,17,Face_hunter_1,16,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,20,Face_hunter_1,8,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,10,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,18,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,8,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,10,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,3,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,23,Q_learner_table_1,hunter_face,0,Q_learner_table_1,13,Face_hunter_1
Face_hunter_1,hunter_face,16,Q_learner_table_1,hunter_face,0,Q_learner_table_1,11,Face_hunter_1
Face_hunter_1,hunter_face,0,Q_learner_table_1,hunter_face,6,Q_learner_table_1,10,Q_learner_table_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,7,Face_hunter_1,10,Face_hunter_1
Face_hunter_1,hunter_face,13,Q_learner_table_1,hunter_face,0,Q_learner_table_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,1,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,30,Face_hunter_1,10,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,30,Face_hunter_1,12,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,20,Face_hunter_1,14,Face_hunter_1
Q_learner_table_1,hunter_face,0,Face_hunter_1,hunter_face,27,Face_hunter_1,10,Face_hunter_1
